model,method,run,rmsd,kld,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_000.bnet,sd_mc,,0.07329241431983333,0.015284236628072732,1408,0,640,0,1024,2,asynchronous
n010_000.bnet,null_mc,,0.42381975840100095,0.4781373415873135,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,ref,,0.4418689710888091,0.5214590403723101,1408,640,0,0,1024,2,asynchronous
n010_000.bnet,random_mc,0,0.42166343739513457,0.47449046517129445,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,1,0.4267808552996566,0.48317582443091495,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,2,0.4237379886121841,0.4779987533037445,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,3,0.4225197366933981,0.4759367185893342,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,4,0.42504232521699364,0.4802133345402745,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,5,0.42144025897091814,0.4741142120038374,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,6,0.42368051337460844,0.47790104137039285,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,7,0.42360549754065185,0.47777408501756063,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,8,0.42419313008103604,0.4787705803884503,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,9,0.4201090803169572,0.4718733777362975,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,10,0.42472872157933195,0.47968058677375697,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,11,0.4277089915264349,0.4847621599668341,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,12,0.4245589389483946,0.4793917230023431,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,13,0.4193298899435939,0.47056368834647744,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,14,0.4275494997645993,0.48448962513149657,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,15,0.4206740857409419,0.47282331988069526,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,16,0.4234784259716808,0.47755879781009974,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,17,0.4236645132204721,0.4778742705527883,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,18,0.42069773219041934,0.4728635357088512,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,19,0.425920587756176,0.48170851476322696,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,20,0.42233560171748324,0.4756254679369974,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,21,0.4242303275782988,0.47883368624517125,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,22,0.42429197677585095,0.4789385228425579,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,23,0.42467315130035194,0.4795856535466213,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,24,0.4219691593971096,0.47500643977775564,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,25,0.4252396143531297,0.48054881877936795,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,26,0.42465096256375456,0.4795480288043537,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,27,0.42257641121926304,0.47603261891444193,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,28,0.4213077442450946,0.47389075426743993,1408,576,64,0,1024,2,asynchronous
n010_000.bnet,random_mc,29,0.4218779547513703,0.4748525132943354,1408,576,64,0,1024,2,asynchronous
n010_001.bnet,sd_mc,,0.2041548745000179,0.31127453738744004,116,26,178,0,64,5,asynchronous
n010_001.bnet,null_mc,,0.3047859750052417,1.068622580675433,116,180,24,0,64,5,asynchronous
n010_001.bnet,ref,,0.3213124846346903,1.1734131457803492,116,204,0,0,64,5,asynchronous
n010_001.bnet,random_mc,0,0.2992870662221378,1.0261402488853546,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,1,0.29978638320937306,1.0369805939509658,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,2,0.2967886780756278,1.009868504396012,116,180,24,0,64,5,asynchronous
n010_001.bnet,random_mc,3,0.3030110787384134,1.0545238086329072,116,180,24,0,64,5,asynchronous
